sentiment,time,tweet
Negative,Fri May 22 06:41:51 PDT 2009,"I'm sick, I want to go home "
Positive,Mon Apr 20 06:54:44 PDT 2009,@ShabbyGomer It must be fun getting to play with ballons first thing Monday morning. Have a fun day today 
Negative,Mon Jun 15 05:29:25 PDT 2009,@bonemaster I wish it was still morning! 
Positive,Mon Jun 01 03:00:19 PDT 2009,God i can't wait 4 exams to be over.Well at least June is here and we can be pretty optimistic 
Positive,Sat May 30 07:19:15 PDT 2009,"@mikecoulter Bet on the Final, Get �25 cashback if your bet loses  http://tinyurl.com/qhoq8j"
Negative,Sun Jun 21 08:35:08 PDT 2009,tons of works to be done again 
Negative,Tue Jun 23 10:08:05 PDT 2009,Damn it! The virus only pretended to be gone - sneakily reinstalled itself on reboot  Tonite's job - operation change all passwords!!
Positive,Sun May 17 18:24:57 PDT 2009,@futuremrsbeck It's not b-ball related. 
Negative,Sat Jun 20 19:37:35 PDT 2009,Im very proud of myself right now. I just packed my suitcase (so Im not in a hurry tomorrow night before leaving Mon  ) &amp; I got it closed!
Negative,Sat Jun 20 08:08:32 PDT 2009,"Just seen quali, lol at the mentioning Zonta! He was my fave 10 years ago "
Positive,Mon May 04 03:53:11 PDT 2009,@_Flik_ Good one.   Might think about it for this year's NaNoWriMo competition.
Negative,Sun Jun 21 08:49:34 PDT 2009,today is ok i miss my woman and im going to my grandparents  fun fun happy fathers day dads
Negative,Wed May 27 07:21:19 PDT 2009,going for a beer.......alone 
Positive,Fri May 29 01:06:13 PDT 2009,just finished a 14 chapter fanfiction...watching Ned's Declassified...Good Afternooooon all 
Negative,Mon May 18 00:42:11 PDT 2009,Im going away to walk in the rain  more tweets later ;)
Negative,Thu Jun 18 08:02:32 PDT 2009,@shawnyboy I've been looking for one since I upgraded but have yet to find anything 
Negative,Thu Jun 18 18:23:21 PDT 2009,@Teradoll thats a bummer 
Positive,Sun May 31 12:34:22 PDT 2009,hey hey people 
Positive,Sun May 03 05:48:32 PDT 2009,The Force save me from grump old cats. 
Positive,Wed Jun 03 06:47:05 PDT 2009,@1critic in my experience this wont happen until the last season of the series- i suggest u better get used 2 reading fanfiction 
Positive,Sun Jun 07 05:37:14 PDT 2009,Bye for now. Have a truly blessed Sunday! May our thoughts be filled with His goodness &amp; abundant love for us! Victory is ours in Jesus! 
Positive,Fri Jun 05 22:55:12 PDT 2009,@awaitinserenity ah fair enough.   I  was reading at work the other day and started sobbing.  sigh.
Negative,Sat May 30 04:02:51 PDT 2009,Moving day! I will miss my first apt. 
Positive,Sat May 30 15:23:39 PDT 2009,@Glasgowlassy ..the rest is history as they say!! Those were the days..stealth mssions and Roy not handling his #largepussy LOL 
Negative,Mon Apr 20 01:46:17 PDT 2009,still waiting for my iphone to arrive 
Negative,Sat May 09 22:01:17 PDT 2009,@realz  figure out a way to make it work well... its not worth a lifetime of misery! bring back that flame!!
Positive,Mon Jun 15 03:42:14 PDT 2009,@lauramadden2601 I'll pass that on 
Negative,Tue Jun 16 21:07:32 PDT 2009,4 to go!!!!!!!! Wish me luck for math guys! I think I'll skip tbi today. Last thing : I hope my physic score won't be so bad  amin!!!!!!!
Negative,Mon Jun 01 00:58:46 PDT 2009,Have to go to the dentist today  nice day for it I guess ...
Negative,Thu Jun 18 16:13:33 PDT 2009,"@morgansp12 yey, but I think it's too long to wait, I want to see them now!!!  x)"
Positive,Sun May 31 06:19:12 PDT 2009,@jejejejen Habol ka na lang sa Thurs!! We'll wait for youuuu. 
Negative,Fri Jun 19 09:20:32 PDT 2009,wishin my son was better i hate it when is bad 
Negative,Sat May 30 20:59:05 PDT 2009,boots are moulded... now to wait to use them 
Positive,Mon May 18 00:43:12 PDT 2009,@danceoffmychest watchng that one dies every week show on ten so good x. Sounds alot like Neighbours...  
Negative,Mon Jun 01 18:34:33 PDT 2009,@NJbond007 aww whats wrong 
Positive,Sun May 31 00:20:12 PDT 2009,"W\C June 1st diary check. No work, all meetings "
Positive,Mon Jun 01 14:25:01 PDT 2009,I wanna have holidays!! 
Positive,Fri May 29 08:33:26 PDT 2009,"@mebner so it seems that you're not a fan of shopping tours, but I don't like it too, ununsual for a woman "
Negative,Sun May 17 11:52:18 PDT 2009,nothing to do on the long weekend 
Positive,Sun May 03 06:44:09 PDT 2009,@NGB2279 I am neither 
Positive,Sat Jun 06 09:59:03 PDT 2009,I'm need to to my homework but I'm hate it! just more 2 weeks// 
Positive,Tue May 26 22:09:14 PDT 2009,Oh snap! I gotta hater on twitter!! Hahahahaha! Awwww...Jesus still lovesz u sweetie  and I love u too! God bless u xoxo
Positive,Mon Jun 15 22:47:46 PDT 2009,@elizagee Then move to Sydney!!! ;) lol I've been trying to get every1 &amp; their grandma to move w/ me 
Positive,Sat Apr 18 07:56:17 PDT 2009,@bailar_vivir yes! 
Negative,Fri Jun 05 16:07:55 PDT 2009,@collective_soul http://twitpic.com/6pa5w -  What's wrong?? Have U been drinking enough water? Do U take your vitamins?
Positive,Sat May 02 23:04:47 PDT 2009,just got back from shopping and i got my mum some perfume for mothers day. arent i thoughtful? 
Positive,Wed Jun 03 05:08:33 PDT 2009,sunbathing in the garden 
Negative,Wed Jun 17 07:43:59 PDT 2009,twitter is being naughty today - can't reply to anyone 
Positive,Sat Jun 06 11:03:26 PDT 2009,@k8dt how are you this weekend. Enjoying life I hope. Still nagging my friends to tune into your music. I won't let it go 
Negative,Sat Jun 06 09:43:35 PDT 2009,... And too bad the Pre is pretty much sold out everywhere.  
Positive,Fri May 29 19:32:35 PDT 2009,"@umMARSHMALLOW oh yea, definitely "
Positive,Sun Jun 07 06:21:11 PDT 2009,Found my motivation and i'm 4 miles better 4 it  now i'm catching up on desperate housewives.
Negative,Wed Jun 24 21:50:20 PDT 2009,Is there a software where my brush strokes will look smoother?  Adbobe makes em look hard.
Positive,Fri May 29 10:04:53 PDT 2009,@MoscowVicky Now that's a fine tradition 
Positive,Tue Jun 02 04:51:44 PDT 2009,@marcuswendt  … can confirm this. Had great fun yesterday at the hairdresser 
Negative,Mon Jun 15 21:16:16 PDT 2009,@daremoshiranai @rislim   how is that hot?  What did that hooker do to you in Vegas????  
Positive,Fri May 22 04:25:54 PDT 2009,@dudeman718 Why thank you   Have a great Friday! So beautiful outside again here in Chicago...
Positive,Sun May 10 01:27:38 PDT 2009,@AnnoyingTweeple You having fun LOL? hehe 
Positive,Mon Jun 15 02:23:28 PDT 2009,Good news this morning! Got the Job! Wooooohoooooo   ;)
Negative,Fri Jun 19 15:27:39 PDT 2009,I am officially sunburned 
Positive,Sun Jun 07 11:08:29 PDT 2009,This dead &amp; gone isnt that bad 
Negative,Fri May 29 07:31:11 PDT 2009,@thomasphantom don't have one yet  but hopefully I'll be ponying up for one soon because this 15&quot; is definitely hitting a wall
Negative,Sun May 31 10:57:34 PDT 2009,UGHHHHH I am so done being sad over this 
Negative,Thu May 28 20:54:19 PDT 2009,ugh headache 
Positive,Sat May 30 04:54:14 PDT 2009,Vacation!  Gonna go to celebrate with my friends to the city! Oh my god! I have to get prepared! Only 3hrs to the &quot;party&quot; ;)
Positive,Fri May 22 05:42:54 PDT 2009,@Biansta holy CRAP. I know i didnt! 
Positive,Sun May 17 21:36:57 PDT 2009,@annemul hahaha  plus arian is full of shit. hes pretty much a liar
Positive,Fri May 29 18:41:35 PDT 2009,Great breaky at Cross Cafe around the corner... can't beat custom orders for $5  http://bit.ly/Ox6tB
Negative,Mon Jun 01 18:14:04 PDT 2009, Roddick lost. I'm sad now.
Positive,Sun May 31 04:34:52 PDT 2009,@LaurenLee_  it must be fun cooking at your house right now 
Positive,Fri May 29 10:46:48 PDT 2009,Class  less and less ppl are coming haha
Positive,Sun May 31 07:08:13 PDT 2009,is out running the Calgary marathon for diabetes! Wish me luck! 
Negative,Wed Jun 17 07:57:01 PDT 2009,@emmaglazier Agreed. All the hype and then the dissapointment 
Positive,Sun Apr 19 23:52:38 PDT 2009,@squashedpillow Thanks! 
Positive,Mon May 04 01:57:27 PDT 2009,hmmm new search bar on #twitter 
Negative,Fri Apr 17 20:41:20 PDT 2009,at the house tryna take care of a sick moe.... 
Negative,Tue Jun 02 18:52:40 PDT 2009,"I should probably look into optimizing the mysql stuff, pretty messy "
Negative,Wed Jun 17 11:19:22 PDT 2009,Always hungry at this time!  - http://tweet.sg
Negative,Sun Jun 07 16:31:14 PDT 2009,@KayleenDuhh Why not?! 
Negative,Tue Jun 16 11:27:16 PDT 2009,my room's cleaned... the beat's rollin'... i need some inspiration 
Negative,Mon Jun 15 09:24:05 PDT 2009,Off to work.  Maybe I'll win an iPhone while I'm in there! #squarespace
Negative,Tue Jun 16 06:02:15 PDT 2009,every week just &lt;3 atashinchi no danshi AND osamu more &amp; more. next week last ep! 
Positive,Mon Jun 15 19:16:17 PDT 2009,filming in DC for the next two weeks!!! 
Negative,Wed Jun 17 03:51:17 PDT 2009,Feeling very low........ 
Negative,Sun Jun 21 06:54:59 PDT 2009,@StaceyLovesCart say it isnt so!!! This is not the birthday present I wanted to get for you  call me when you can!!!
Negative,Wed Jun 03 07:30:02 PDT 2009,ooooooooooooow my tummy 
Positive,Mon Jun 15 18:43:54 PDT 2009,@SpaceElevators at least in spirit my friend. 
Negative,Sat Jun 06 14:37:28 PDT 2009,Omg..why do I have such thick hair..highlighting it is a brutal 3 hour ordeal 
Positive,Fri May 22 02:15:25 PDT 2009,"@Justin_A should be here tomorrow, good enough for me "
Positive,Fri May 29 19:10:04 PDT 2009,@MrDarkey Yeah I saw it. 
Positive,Mon Jun 01 14:35:17 PDT 2009,@indiemoviemaker Ha ha. What do you call a Scotsman with a tan? Sean Connery 
Negative,Sun May 31 01:13:24 PDT 2009,"V hot out there already. Greys going home soooo early, in about 15 mins.  Pooey."
Negative,Fri May 29 20:07:21 PDT 2009,@Jamie1km oh no!  I hope you find your doggie soon.
Positive,Mon Jun 15 02:05:15 PDT 2009,@LaraTizzy http://twitpic.com/7gcdn - Awwww. Jared looks so cute here  Yey Jareddd
Positive,Mon May 18 07:26:05 PDT 2009,good morning...  um so last night i watched Dane Cook's new show  ISolated INcident  it was awsome everyone should c it =P
Negative,Wed Jun 17 19:13:26 PDT 2009,"Grrr wtf! Left my room to take a pain pill and my son didn't answer my phone, missed @killakel25 call! "
Negative,Sun Jun 07 19:58:18 PDT 2009,FML i hate doing religion 
Negative,Tue Jun 16 03:48:43 PDT 2009,my eye hurts 
Positive,Wed Jun 03 03:33:15 PDT 2009,@marcusfoster1 We can't wait either!  Hope you are playing close to me 
Positive,Sun May 31 15:51:56 PDT 2009,GOD BLESS YOU - america - SEZ DA LION  http://bit.ly/14a7A  think about that - STINK 
Negative,Mon Jun 01 04:16:35 PDT 2009,Haas takes the first set and FedEx did not lose a point on serve in the set 
Negative,Sat Jun 20 20:51:43 PDT 2009,@JonasWorld tell joe to go on twitter i miss him 
Positive,Fri May 22 05:24:42 PDT 2009,The Book of Love&quot; by Peter Gabriel wot a great song 
Negative,Mon Jun 01 19:47:09 PDT 2009,@JoshSkolnick awww! my experience with wirewalkers was seeing Wallenda perform the week before he died trying to cross El Condado 
Positive,Sun Jun 07 10:36:11 PDT 2009,"@mitchelmusso thanks mitchel  please follow me *-* your musics are perfect, you are the best"
Negative,Sat Jun 20 07:16:48 PDT 2009,"@reidsan nothing can compete to Sam's chicken  on the plus side, I'm visiting next week and you're back in london soon!"
Positive,Fri Jun 05 08:41:35 PDT 2009,@ajid thank you. you all have safe journey too. i will try to get the items that u all pesan. 
Negative,Thu Jun 18 00:11:49 PDT 2009,Is having runs since yesterday night. Boohoohoo. 
Positive,Sun Apr 19 23:42:43 PDT 2009,@tisdaleweb LOL that was real late. 
Positive,Fri Jun 05 10:10:28 PDT 2009,your makinnn me smile 
Positive,Tue Jun 16 01:51:08 PDT 2009,#IranElection VOTE FOR ME BY FOLLOWING ME  FOLLOW ME FOLLOW ME FOLLOW ME#IranElection VOTE FOR ME BY FOLLOWING ME  FOLLOW ME
Positive,Mon May 18 04:46:33 PDT 2009,"My sister came home at 4am again and disturbed my before-finals sleep. And yes, great minds do think alike. "
Negative,Sat May 30 01:46:39 PDT 2009,@RichardJJ stupid having-to-stay-iside revision 
Positive,Mon Jun 01 20:11:03 PDT 2009,@silentwyllow I was holding a flat so it would not fall at that point! 
Negative,Fri May 22 04:34:54 PDT 2009,@lenav09 i want dimsum 
Positive,Mon Jun 15 08:30:51 PDT 2009,"Our church praise ministry, Scattered Leaves, has an EP I recommend to everyone. I'm on there somewhere!  http://is.gd/12ySl"
Positive,Mon Jun 01 12:16:58 PDT 2009,i'm back ... or something 
Negative,Fri Jun 19 13:23:44 PDT 2009,@hawpunch Yes looks like its out for mac owners so far....have windows 
Negative,Sun May 31 10:29:35 PDT 2009,Mark has to work all day now  poop. Watching #Flushed Away with the boys. Too cold and windy to go out! Brr!!!
Negative,Wed Jun 17 04:51:11 PDT 2009,@sophsam01 yeah that came after the scores reset earlier 
Positive,Sun Jun 07 19:50:24 PDT 2009,@Ash_P_21 heyy wat up! i'm sittin here watchin this CrAzY game eatin a brownie!!! 
Negative,Thu May 28 21:44:30 PDT 2009, wow. Wtf?
Positive,Mon Jun 15 04:26:23 PDT 2009,@EMMALPN hah! You should have called it Neville! Mines wisteria  tell me when you wanna connect likeee 
Positive,Mon Jun 15 04:38:24 PDT 2009,@Lainie_at_REMAX almost... me is  @tuttel  
Negative,Sat May 30 17:21:07 PDT 2009,I never thought I would live the day when I wouldn't  really miss playing video games... Until now 
Positive,Sun May 03 21:31:44 PDT 2009,I love the way I feel after doing work.  Now I am feeling tired and 5am comes fast so I will shower and sleep.  Night everyone 
Positive,Sat May 02 02:16:32 PDT 2009,Making my iPhone clean again 
Negative,Thu Jun 18 10:43:45 PDT 2009,missing Big Bang alot!  Can't wait for Taeyang-shi's comeback!
Positive,Sun May 31 11:21:58 PDT 2009,sitn here hoping 2 ride the motorcycle later 
Negative,Fri May 22 08:50:29 PDT 2009,"Well, i better get to sleep now, since i still have school on a saturday for 7 hours tomorrow...  night everyone!"
Negative,Tue Jun 16 12:18:00 PDT 2009,still can't get in my myspace 
Positive,Fri May 29 17:07:00 PDT 2009,Going to bed at 8am. Don't be like me. Oh and I watched the pilot episode of Glee. Not bad. 
Negative,Fri Jun 19 05:36:48 PDT 2009,"I'm bored, at work "
Negative,Mon Jun 01 16:12:16 PDT 2009,@KadiPrescott I'm all for it!  It's just been a rough week schedule-wise.  I have to focus on billable work before I can think. 
Positive,Mon Apr 20 23:45:43 PDT 2009,So over work. Can't believe I have to do this for another 30 odd years. Roll on Logan's Run 
Negative,Sat Jun 06 11:25:38 PDT 2009,@oldrainbow yeah i miss u super much 
Positive,Sat May 30 13:03:14 PDT 2009,"@GaryM My grandpa used to tell me that too  Sadly, their tap root &amp; leaf system chokes out grass &amp; is crappy for erosion prevention"
Positive,Mon Apr 20 07:59:59 PDT 2009,about to go to biology 
Negative,Sun May 31 07:13:55 PDT 2009,I should get used to dreading work..12-9P 
Positive,Tue May 26 21:57:29 PDT 2009,"@goodlaura We're all fighting the good fight, and the more success stories there are, the more there will be "
Negative,Sat May 02 13:01:49 PDT 2009,Miss old Fall Out Boy  ? http://blip.fm/~5fm4u
Positive,Sat May 09 21:16:32 PDT 2009,"@MeghanAlanna yes i love manchester orchestra,and sigur ross. all the other bands ive never heard of but ill give them a listen. thanks "
Negative,Tue Jun 02 04:35:22 PDT 2009,oh mannn  just watched the season finale of the hills. i wanna cry right now 
Positive,Sun May 03 09:36:49 PDT 2009,@KendellRenee Anytime 
Positive,Sun Jun 07 03:52:05 PDT 2009,@NYBabe am going to the place with pointy sticks anyway so might as well go with a smile on my face... 
Negative,Sun May 31 15:13:06 PDT 2009,"@sanguinerose81 lol, yeah I was watching, hate that Nadal lost "
Negative,Wed Jun 17 01:20:36 PDT 2009,hates Hui Juan for stealing her Mike He  http://plurk.com/p/11k262
Negative,Sat Jun 20 11:12:35 PDT 2009,well everyone messaged me at the last secound so i'll be on mtspace.  dam i haven't ate cause theres no food.  ima starve myself..
Negative,Thu Jun 25 06:46:37 PDT 2009,In one hell of a bad mood today hatfever is doing my head in and everything else is just blah blah meh I think I just need a big hug 
Negative,Wed May 13 23:19:18 PDT 2009,putting on my comfy sweater rug and passing out. today was perfect except for the loss of my bowl 
Positive,Sun Jun 07 10:07:42 PDT 2009,@craftedgems i am supposed to do laundry but i am listing and thing making a necklace ... indulge in your craft with me 
Positive,Sat May 02 10:08:15 PDT 2009,Hey the @JonasBrothers are doing a live web chat on May 7th! I'm inviting you! http://bit.ly/14etEe #jonaslive 
Negative,Sat Jun 06 06:10:02 PDT 2009,Finally able to contact han. Its frustrating when communication media don't work as advertised. 
Positive,Fri Jun 05 12:08:15 PDT 2009,@TheAntiSocial How about Cantrollwithitobia  #creativephobias
Negative,Sun May 03 10:21:58 PDT 2009,"Planing a long bath to night, with some nice soap, exams starting tomorrow "
Negative,Mon Jun 22 17:19:09 PDT 2009,Wishes she could watch Jon n Kate tonight 
Negative,Sat May 30 23:21:14 PDT 2009,"@brittabritt I'm gonna miss, just when I was getting to know you, it makes me "
Positive,Sun May 17 22:36:09 PDT 2009,Got word from @mae_dbl that Miguel can see who he's playing with now since he already recognizes who's making funny faces before him. 
Negative,Sat May 30 07:35:39 PDT 2009,@borbeyy I would but you have to dance 
Negative,Mon Jun 15 13:29:20 PDT 2009,"so im pretty depressed tht i will not be attending the rise against concert, &amp; im sure tim mcllrath is also  stupid car"
Positive,Wed Jun 03 02:50:36 PDT 2009,Windy but sunny as HELL! 
Positive,Sun May 31 08:19:02 PDT 2009,Dude You Know what? Baiden Is Cooooooool ;) Don't spill Your coffee On your keyboasrd again Baiden=awesome 
Positive,Thu May 14 07:08:13 PDT 2009,@tommcfly PLEASE REPLY !!! You got any plans for Europe this or next year ? Especially Germany ?? .. Please reply tom 
Negative,Fri Jun 05 13:36:13 PDT 2009,Mad its raining on my bday 
Positive,Sun May 17 04:46:20 PDT 2009,is enjoying eurovision 
Negative,Sat Jun 20 06:58:47 PDT 2009,@assbach same problem here... 3.0 works fine but no network 
Positive,Tue Jun 02 21:54:42 PDT 2009,hey follow me  i'll put updates after exams =p
Negative,Mon Jun 15 20:45:03 PDT 2009,"Awe, I wanna have a secret handshake with someone. "
Negative,Thu May 14 06:31:53 PDT 2009,Having a problem connecting to my office computer.  The slightest weather disruption causes this 
Negative,Sun May 17 05:01:11 PDT 2009,aww  i can't hang out with lens today. no ride ((
Positive,Sun Jun 07 19:33:50 PDT 2009,Wish me luck 
Negative,Fri May 29 18:39:15 PDT 2009,@empressmile did you get in a car accident?  hope all is well! #unfollowdiddy &lt;--lol
Positive,Fri May 22 02:16:57 PDT 2009,going to go into uni and see my faveh soon 
Negative,Sat Jun 20 19:40:22 PDT 2009,"My feet ache  3:40 in the morning, just eaten some crisps, now having a Crunchie chocolate yoghurt &amp; I have to wake up at 9 &amp; work at 10!"
Positive,Sat May 30 15:21:44 PDT 2009,"@mannabsn Sorry it took me so long, I was without technology for the afternoon   Skype is a web-based video chat. #mmwanted"
Positive,Sun May 10 00:36:35 PDT 2009,"@hosea24hours I'm still on the bandwagon. Figured I've been on this ride so far, might as well see what happens. "
Positive,Sun May 31 12:40:34 PDT 2009,WOW... Beautiful bunt by @NickSwisher...  Let's Go #Yankees.
Positive,Sun May 31 09:55:40 PDT 2009,going to angels house for the third day in a row!!  soooo much fun. gonnuh watch &quot;UP&quot; with the guys and paris!
Positive,Sat Jun 06 22:43:05 PDT 2009,Queens of the stone age on snl.  the one night I watch it they have someone good.
Negative,Wed Jun 17 00:06:45 PDT 2009,Oh no. Im having a coughing fit 
Positive,Mon Jun 15 19:14:20 PDT 2009,Oh and I still love @iSlusho. Hahahahaha 
Positive,Fri May 29 02:47:09 PDT 2009,"Is off work sick, but had a facebook message this morning and is a lot happier now "
Negative,Wed Jun 17 21:04:45 PDT 2009,@MattyMcFly lol i kno  ..im so lame
Positive,Mon Jun 15 00:50:19 PDT 2009,@Davester874 and me kicking your ass in rock band 
Positive,Sun Apr 19 08:04:42 PDT 2009,"@CYHSYtheband I shall dance, but I really want satan to strike me... catch ya later "
Negative,Wed Jun 03 03:09:47 PDT 2009,'We the Robots' is no more  http://bit.ly/myaRO
Negative,Sun Jun 21 08:31:59 PDT 2009,Idk what hurts more my tummy or my tailbone 
Negative,Thu Jun 25 05:31:19 PDT 2009,"Looking at my empty bathroom. Nigel has striped, he's a demolition man. also looking at local paper. Think our house is overpriced "
Negative,Sat Jun 06 09:22:19 PDT 2009,I just woke up &amp; had some of my homeade shrimp fried rice from earlier this week &amp; a half an advacado...NOW I MUST GO RUN!!!!!!!    
Positive,Sat Jun 06 12:38:18 PDT 2009,@dannygokey on 4th place now!!!  been voting like every 20 mins...woohoo!! 
Positive,Sat May 09 18:50:51 PDT 2009,@wildbluebug Yep! Here's a pic of the kid standing on the Puffy Taco.  - Photo: http://bkite.com/07jZs
Positive,Sat Apr 18 15:50:11 PDT 2009,"@iamwhoever sorrry love, it heroin...no e    "
Negative,Sat Jun 06 17:09:56 PDT 2009,@AnnaSaccone oh no!!  i hate thunder!  wear rubber soled shoes haha xxx
Positive,Sun Jun 07 20:35:33 PDT 2009,@BradenD we were at Alice Lake 
Negative,Mon Jun 01 04:31:21 PDT 2009,New laptop time.  Mine has broken. The screen fell off. Meh!: New laptop time.  Mine has broken. The screen fell off. Meh!
Negative,Tue Jun 23 15:22:15 PDT 2009,@dowwhiz hmmmm Do I haaaaaave to guess? 
Positive,Sun May 17 11:13:31 PDT 2009,planning on going to see Night at the Museum 2 on Wednesday 
Positive,Mon Jun 01 21:12:07 PDT 2009,@PaulaAbdul I thought u were in the plane already LOL Marina helps u a lot...I remember in 2005 she called the ambulance.The babie r safe 
Positive,Sat Jun 06 06:35:34 PDT 2009,@JessikaSays woah nice babe! Have fun 
Positive,Mon Jun 01 18:02:15 PDT 2009,@kirstiealley ROTFLMAO!!!    Too funny!
Negative,Mon May 04 07:14:36 PDT 2009,"Sitting in the dr. Office, sick. "
Negative,Thu Jun 25 07:26:19 PDT 2009,@DrRoo it's hard to get bacon water these days 
Positive,Mon Jun 01 03:48:53 PDT 2009,"@playitlikebecks Aww, I miss you too! "
Positive,Sun Jun 07 03:46:31 PDT 2009,On my way to the airport  I got butterflies for this trip! So excited! Hehe
Positive,Sat Apr 18 13:39:48 PDT 2009,@loving_nkotb thanks. just saw this ... i did 
Positive,Wed Jun 03 00:03:42 PDT 2009,@iphonehelper786 No. I had done it 3 times before. That was just the first true time there were absolutely no problems. 
Negative,Thu May 28 22:51:49 PDT 2009,@kbeaudet yay! when are you coming down? i work a bunch this weekend 
Negative,Sat Jun 06 23:35:38 PDT 2009,@MCCROTCHKEY I'm sorry that upset you so much 
Negative,Thu Jun 25 08:55:46 PDT 2009,WEll than. I had a cruddy last day of school. 
Positive,Mon Jun 15 08:14:23 PDT 2009,twitter im sorry i neglected you  but im backkk
Negative,Mon Jun 01 15:51:06 PDT 2009,So jason is doing my hair and he just accidentally straightened my ear lobe 
Negative,Mon Jun 15 20:58:03 PDT 2009,"is on 2 days child sick leave.. His daughter Aria Sheza is downed with fever, running nose &amp; cough.. "
Positive,Sat Jun 06 21:57:21 PDT 2009,"@PreternaReviews yeah, I was just looking through his stuff--it looks like fun "
Positive,Mon Apr 20 04:14:03 PDT 2009,"@sandieb321 Thats the way Sandie,you tell em lol "
Negative,Mon Jun 01 02:26:09 PDT 2009,ohmeehgawsh she just left ted  http://plurk.com/p/xle8v
Negative,Tue Jun 23 16:36:13 PDT 2009,@MarielBilyeu Why baby? 
Positive,Mon May 18 04:10:23 PDT 2009,@BigAssBadger Back to normal tomorrow then!!!! Kids don't you just love 'em but couldn't eat a whole one! 
Positive,Wed May 13 23:36:33 PDT 2009,"In case you missed it earlier, &quot;Never Say DIe&quot; can be found at- http://www.booksie.com/crensci "
Negative,Mon Jun 01 10:36:20 PDT 2009,@skinnyribs 11 days  i'd rather be making $$$ ooo how fun! are you going to show them off in flickr? PLEASE?!
Negative,Fri May 29 01:19:13 PDT 2009,"@torilovesbradie definitely, or even just &quot;i'll call you&quot;, they never do  how was ur day? xx"
Negative,Sat Jun 06 14:50:16 PDT 2009,"Leaky, and all Leaky-related sites refuse to work on this computer. AGAIN. Why does my computer do this to me?! I am going to kill it. "
Positive,Sat May 02 06:22:44 PDT 2009,@seankoerner good start attack 
Negative,Fri May 22 00:19:49 PDT 2009,"@mestaton Yes, i just got paid too. Would be happy if fiancee wasn't at a conference in Rome all weekend "
Positive,Tue May 26 21:14:50 PDT 2009,@sandeepparikh ROFL!! love the McG comment... too soon?!? lol Just right 
Positive,Wed Jun 03 00:32:08 PDT 2009,HOME!  And that Roots show was CRAZY!  M.O.P. brought the ruckus and Q-Tip brought the abstract.  Sweet night of hip hop. 
Negative,Thu Jun 18 13:25:45 PDT 2009,"@jaspreetgill haha I HATE it with a passion lol on the last page of p6 though and then I have to go over the equations for p 4 , 5 and 6 "
Positive,Tue Jun 02 01:44:41 PDT 2009,@DebBennett555  Well being hyper isn't going to let you get any good sleep...lol!!!  try some relaxing herbal tea...it helps me calm down 
Negative,Mon Apr 20 01:25:22 PDT 2009,I do miss regularly sewing buffy each week on tv. Was a great show. And great eye candy. The series fanalie sucked though I felt 
Negative,Wed Jun 17 08:33:22 PDT 2009,@timlovejoy whats and ITP? Please don't haha oh what ajoke blackpool have newcastle at home before our 3rd stand is ready 
Negative,Mon Apr 20 01:45:47 PDT 2009,@hoshigirl gimme rain! 
Positive,Mon Jun 01 08:19:05 PDT 2009,O my! I'm starting my travell through twitter 
Negative,Wed Jun 17 12:35:14 PDT 2009,@Aimzzy Aaron jst told me he was offered free tix 2 go audio last concert nd sed no! He sed he wud have took em if he knew we liked them 
Negative,Sun May 31 23:49:58 PDT 2009,@staceyBEAR aw bby! 
Positive,Fri May 29 17:29:03 PDT 2009,Bought party decorations  Errands this weekend &amp; cleaning. Cousin is coming on Monday
Positive,Mon Jun 15 14:08:55 PDT 2009,"Ok, too much downer news today. I'm posting about organic savings tomorrow! "
Positive,Sun May 31 01:19:56 PDT 2009,finished english and s.o.r  now time to have 2 big cups of water 
Positive,Sun Apr 19 11:51:10 PDT 2009,"@NeoTech2020 ok, i'll stop the plugin "
Negative,Tue Jun 16 22:25:57 PDT 2009,@rachell16 i don't think they'll sell Live At Wembley  buying online's the best way. makes you feel like... so.. original. ha! i don't
Positive,Fri Jun 05 17:55:47 PDT 2009,got some cute nails.. now I'm going tanning 
Positive,Tue May 26 21:59:01 PDT 2009,Back in my old stomping grounds 
Positive,Mon Jun 01 14:17:02 PDT 2009,@aimeefulton You doing the volvic challenge? 
Positive,Sun Jun 07 11:33:18 PDT 2009,"@TammyBurnell It's now Monday here, Tammy.  Have a wonderful Sunday!"
Negative,Wed Jun 24 22:46:28 PDT 2009,@LadyJava  really LJ? none of my comments appeared on your FB post??
Negative,Sun May 03 23:15:14 PDT 2009,Dont ya just hate when your eye gets itchy... then you itch it... and now it hurts  On a lighter note... uhhhhh... It was sunny today?
Positive,Tue Jun 02 00:26:49 PDT 2009,"@evercourant @jdarkling The Vulcan reaction to a) Austen b) pr0n, I wld pay $$$ to see. "
Negative,Sat Jun 20 11:11:34 PDT 2009,@crissangel ghaaaa why do I have to live in Tx 
Negative,Mon Jun 01 18:13:45 PDT 2009,@PhillyGotBarz @msmyndi i dont know what else to do  i uploaded it twice.
Negative,Tue Jun 16 22:42:57 PDT 2009,hiccups won't go away 
Negative,Mon Jun 15 17:47:21 PDT 2009,@linuxwitch I can't decide 
Negative,Thu Jun 18 09:45:05 PDT 2009,@undercoverPir8 no lie; I cried the first time I seen that. I was 9 and unprepared for the cruel sight of Arnie going down 
